City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
1557,Puerto Ayora,-0.74,-90.35,70.0,94,100,7.0,EC,overcast clouds
1558,Punta Arenas,-53.15,-70.92,51.8,71,0,6.93,CL,clear sky
1559,Ushuaia,-54.8,-68.3,50.0,71,75,5.01,AR,broken clouds
1560,Port Macquarie,-31.43,152.92,62.6,82,75,9.35,AU,broken clouds
1561,Norman Wells,65.28,-126.83,1.4,84,20,6.93,CA,few clouds
1562,Busselton,-33.65,115.33,64.0,64,100,9.22,AU,overcast clouds
1563,Antsohihy,-14.88,47.99,85.95,34,75,15.97,MG,broken clouds
1564,Saldanha,-33.01,17.94,78.8,29,0,19.46,ZA,clear sky
1565,Sao Joao Da Barra,-21.64,-41.05,73.4,78,90,20.8,BR,overcast clouds
1566,Longyearbyen,78.22,15.64,19.4,73,75,1.12,SJ,broken clouds
1567,Carnarvon,-24.87,113.63,71.6,78,90,9.17,AU,overcast clouds
1568,Bethel,41.37,-73.41,35.01,92,1,4.29,US,clear sky
1569,Ushuaia,-54.8,-68.3,50.0,71,75,5.01,AR,broken clouds
1570,Ushuaia,-54.8,-68.3,50.0,71,75,5.01,AR,broken clouds
1571,Airai,-8.93,125.41,62.62,98,15,0.83,TL,few clouds
1572,Ancud,-41.87,-73.82,63.0,58,0,11.41,CL,clear sky
1573,Dingle,11.0,122.67,76.75,86,100,5.77,PH,overcast clouds
1574,Hermanus,-34.42,19.23,70.0,50,0,5.99,ZA,clear sky
1575,Marawi,8.0,124.29,77.0,91,100,5.01,PH,overcast clouds
1576,Tiksi,71.69,128.87,1.44,94,47,2.57,RU,scattered clouds
1577,Coihaique,-45.58,-72.07,53.6,66,0,2.24,CL,clear sky
1578,Hobart,-42.88,147.33,55.0,81,90,2.24,AU,overcast clouds
1579,Dikson,73.51,80.55,16.2,95,100,20.24,RU,overcast clouds
1580,Zhigansk,66.77,123.37,-12.55,89,80,0.22,RU,broken clouds
1581,Ponta Do Sol,32.67,-17.1,77.0,78,20,9.17,PT,few clouds
1582,Yellowknife,62.46,-114.35,19.4,85,90,14.99,CA,light snow
1583,Punta Arenas,-53.15,-70.92,51.8,71,0,6.93,CL,clear sky
1584,Tuktoyaktuk,69.45,-133.04,-4.0,83,20,3.36,CA,few clouds
1585,Saskylakh,71.92,114.08,-3.73,84,0,5.79,RU,clear sky
1586,Provideniya,64.38,-173.3,20.88,86,86,5.93,RU,overcast clouds
1587,Tuktoyaktuk,69.45,-133.04,-4.0,83,20,3.36,CA,few clouds
1588,Huanimaro,20.37,-101.5,48.2,61,5,2.53,MX,clear sky
1589,Vaini,-21.2,-175.2,71.6,88,40,11.41,TO,scattered clouds
1590,Yellowknife,62.46,-114.35,19.4,85,90,14.99,CA,light snow
1591,Albany,42.6,-73.97,37.0,100,20,1.61,US,fog
1592,Jamestown,42.1,-79.24,35.01,92,90,4.7,US,overcast clouds
1593,Bluff,-46.6,168.33,48.0,82,76,3.0,NZ,broken clouds
1594,Codrington,-38.27,141.97,48.56,89,10,6.06,AU,clear sky
1595,Sturgeon Falls,46.36,-79.93,21.2,85,20,5.82,CA,few clouds
1596,Kapaa,22.08,-159.32,71.6,88,1,9.17,US,clear sky
1597,Atbasar,51.8,68.33,38.66,70,63,4.97,KZ,broken clouds
1598,San Carlos De Bariloche,-41.15,-71.31,64.4,23,0,4.7,AR,clear sky
1599,Namatanai,-3.67,152.43,80.17,78,100,4.83,PG,light rain
1600,Jamestown,42.1,-79.24,35.01,92,90,4.7,US,overcast clouds
1601,Bethel,41.37,-73.41,35.01,92,1,4.29,US,clear sky
1602,Gamba,-2.65,10.0,80.62,80,100,10.83,GA,overcast clouds
1603,Hermanus,-34.42,19.23,70.0,50,0,5.99,ZA,clear sky
1604,Yulara,-25.24,130.99,75.2,16,87,8.05,AU,overcast clouds
1605,Puerto Ayora,-0.74,-90.35,70.0,94,100,7.0,EC,overcast clouds
1606,Longyearbyen,78.22,15.64,19.4,73,75,1.12,SJ,broken clouds
1607,College,64.86,-147.8,10.4,84,90,3.36,US,light snow
1608,Souillac,-20.52,57.52,71.6,68,75,14.99,MU,shower rain
1609,Nikolskoye,59.7,30.79,44.6,81,75,4.47,RU,broken clouds
1610,Cape Town,-33.93,18.42,71.6,46,0,25.28,ZA,clear sky
1611,Camacha,33.08,-16.33,73.4,73,20,9.17,PT,few clouds
1612,Tilichiki,60.47,166.1,25.57,98,4,6.02,RU,clear sky
1613,Bredasdorp,-34.53,20.04,68.0,45,0,13.87,ZA,clear sky
1614,Korsakov,46.63,142.78,32.0,83,20,7.2,RU,few clouds
1615,Kaitangata,-46.28,169.85,50.0,66,5,1.99,NZ,clear sky
1616,Lompoc,34.64,-120.46,48.2,100,90,5.82,US,mist
1617,Laguna,38.42,-121.42,48.0,75,1,3.0,US,clear sky
1618,Leningradskiy,69.38,178.42,19.6,93,94,12.37,RU,overcast clouds
1619,Nelson Bay,-32.72,152.15,59.0,87,90,5.82,AU,overcast clouds
1620,Ushuaia,-54.8,-68.3,50.0,71,75,5.01,AR,broken clouds
1621,Rikitea,-23.12,-134.97,74.82,70,18,6.76,PF,few clouds
1622,Butaritari,3.07,172.79,81.09,76,64,16.31,KI,broken clouds
1623,New Norfolk,-42.78,147.06,55.0,68,73,1.57,AU,broken clouds
1624,Bluff,-46.6,168.33,48.0,82,76,3.0,NZ,broken clouds
1625,Bluff,-46.6,168.33,48.0,82,76,3.0,NZ,broken clouds
1626,Springbok,-29.66,17.89,85.5,13,0,12.35,ZA,clear sky
1627,Karabuk,41.2,32.63,56.17,67,92,4.32,TR,overcast clouds
1628,Mudgee,-32.59,149.59,48.99,93,2,4.7,AU,clear sky
1629,Bengkulu,-3.8,102.27,77.81,85,100,3.4,ID,moderate rain
1630,Yellowknife,62.46,-114.35,19.4,85,90,14.99,CA,light snow
1631,Bintulu,3.17,113.03,80.6,88,40,3.36,MY,scattered clouds
1632,Albany,42.6,-73.97,37.0,100,20,1.61,US,fog
1633,Hilo,19.73,-155.09,75.2,78,90,2.89,US,overcast clouds
1634,Esmeraldas,-19.76,-44.31,73.4,60,75,16.11,BR,broken clouds
1635,Ziniare,12.58,-1.3,98.6,17,0,8.05,BF,clear sky
1636,Bluff,-46.6,168.33,48.0,82,76,3.0,NZ,broken clouds
1637,Ushuaia,-54.8,-68.3,50.0,71,75,5.01,AR,broken clouds
1638,Dukat,62.55,155.55,10.2,95,100,5.82,RU,overcast clouds
1639,Provideniya,64.38,-173.3,20.88,86,86,5.93,RU,overcast clouds
1640,Komsomolskiy,40.43,71.72,48.2,24,0,2.24,UZ,clear sky
1641,Puerto Ayora,-0.74,-90.35,70.0,94,100,7.0,EC,overcast clouds
1642,Cidreira,-30.18,-50.21,68.07,58,82,9.06,BR,broken clouds
1643,Sistranda,63.73,8.83,46.4,75,75,14.99,NO,broken clouds
1644,Qaanaaq,77.48,-69.36,12.99,87,100,7.18,GL,overcast clouds
1645,Coquimbo,-29.95,-71.34,53.6,87,90,8.05,CL,overcast clouds
1646,Butaritari,3.07,172.79,81.09,76,64,16.31,KI,broken clouds
1647,Mar Del Plata,-38.0,-57.56,64.4,52,0,11.41,AR,clear sky
1648,Saskylakh,71.92,114.08,-3.73,84,0,5.79,RU,clear sky
1649,Pemberton,50.32,-122.8,41.0,100,75,0.89,CA,broken clouds
1650,Busselton,-33.65,115.33,64.0,64,100,9.22,AU,overcast clouds
1651,Hovd,48.01,91.64,28.44,84,0,0.78,MN,clear sky
1652,Souillac,-20.52,57.52,71.6,68,75,14.99,MU,shower rain
1653,Hobart,-42.88,147.33,55.0,81,90,2.24,AU,overcast clouds
1654,Yaan,7.38,8.57,91.96,42,4,3.96,NG,clear sky
1655,Ancud,-41.87,-73.82,63.0,58,0,11.41,CL,clear sky
1656,North Platte,41.12,-100.77,30.2,92,1,10.29,US,clear sky
