City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1198,Hermanus,ZA,70.0,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
1199,Manokwari,ID,81.12,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
1201,Guanare,VE,82.83,moderate rain,9.04,-69.74,Nuevo Hotel Coromoto
1203,Vaini,TO,71.6,scattered clouds,-21.2,-175.2,Keleti Beach Resort
1205,Atuona,PF,78.03,few clouds,-9.8,-139.03,Villa Enata
1206,Rikitea,PF,74.82,few clouds,-23.12,-134.97,Pension Maro'i
1209,Hermanus,ZA,70.0,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
1210,Vaini,TO,71.6,scattered clouds,-21.2,-175.2,Keleti Beach Resort
1211,Mahebourg,MU,71.6,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
1214,Saint-Pierre,RE,73.4,broken clouds,-21.34,55.48,Lindsey Hôtel
1215,Vanimo,PG,78.75,few clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
1218,Bhadrachalam,IN,74.52,clear sky,17.67,80.88,Hotel Srinidhi Residency
1219,Port Elizabeth,ZA,68.0,clear sky,-33.92,25.57,39 On Nile Guest House
1222,Esperance,AU,75.2,broken clouds,-33.87,121.9,Hospitality Esperance
1223,Hilo,US,75.2,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
1226,Puerto Ayora,EC,70.0,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
1227,Subiaco,IT,66.99,clear sky,41.93,13.09,B&B Al Campo
1228,Port Alfred,ZA,66.61,broken clouds,-33.59,26.89,The Halyards Hotel
1229,Santa Cruz,BO,78.8,scattered clouds,-17.8,-63.17,Hotel Cortez
1230,Kapaa,US,71.6,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
1232,Arraial Do Cabo,BR,69.8,light intensity drizzle,-22.97,-42.03,Pousada Porto Praia
1235,Tacuati,PY,84.33,clear sky,-23.45,-56.58,
1236,Port Hedland,AU,78.8,clear sky,-20.32,118.57,The Esplanade Hotel
1237,Yulara,AU,75.2,overcast clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
1240,Ponta Do Sol,PT,77.0,few clouds,32.67,-17.1,Hotel do Campo
1242,Saldanha,ZA,78.8,clear sky,-33.01,17.94,Blue Bay Lodge
1243,Mahanoro,MG,72.39,broken clouds,-19.9,48.8,Hôtel Mon Désir
1252,Puerto Ayora,EC,70.0,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
1253,Boyuibe,BO,71.6,scattered clouds,-20.42,-63.28,Residencial Eluzai
1257,Faanui,PF,78.42,scattered clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
1259,Rio Grande,BR,69.8,scattered clouds,-32.03,-52.1,Hotel Atlântico Rio Grande
1263,Victoria,HK,75.0,clear sky,22.29,114.16,Mini Hotel Central
1264,Kununurra,AU,84.2,few clouds,-15.77,128.73,Hotel Kununurra
1266,Salalah,OM,87.8,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
1270,Monrovia,LR,84.27,broken clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
1271,Puerto Carreno,CO,81.28,overcast clouds,6.19,-67.49,Casa Hotel Victoria
1272,Avarua,CK,73.4,light rain,-21.21,-159.78,Paradise Inn
1273,Quarai,BR,68.54,clear sky,-30.39,-56.45,Hotel Casino San Eugenio del Cuareim
1276,Kirakira,SB,79.39,broken clouds,-10.45,161.92,SanBiz Lodge
1277,Inirida,CO,79.34,moderate rain,3.87,-67.92,Fuente del Guania Hotel de Lujo
1278,Hobyo,SO,83.01,light rain,5.35,48.53,Osmani Hotel
1281,Padang,ID,80.06,moderate rain,-0.95,100.35,Mercure Padang
1283,Gat,IL,79.0,scattered clouds,31.61,34.76,OlusHome
1287,Esperance,AU,75.2,broken clouds,-33.87,121.9,Hospitality Esperance
1289,Rikitea,PF,74.82,few clouds,-23.12,-134.97,Pension Maro'i
1293,Avarua,CK,73.4,light rain,-21.21,-159.78,Paradise Inn
1295,Qena,EG,91.4,few clouds,26.16,32.72,"Grand hotel ""Quena"""
1296,Georgetown,MY,84.2,few clouds,5.41,100.34,Cititel Penang
1298,Matara,LK,79.38,clear sky,5.95,80.54,Amaloh Boutique Resort
1300,Mahebourg,MU,71.6,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
1301,Afua,BR,91.45,broken clouds,-0.16,-50.39,Hotel Dias
1306,Port Alfred,ZA,66.61,broken clouds,-33.59,26.89,The Halyards Hotel
1307,Rikitea,PF,74.82,few clouds,-23.12,-134.97,Pension Maro'i
1308,Inhambane,MZ,86.0,few clouds,-23.86,35.38,Oceano
1310,Cabedelo,BR,86.0,broken clouds,-6.98,-34.83,Lua Mansa Pousada
1314,Piracicaba,BR,75.0,broken clouds,-22.73,-47.65,Antonio's Palace Hotel
1315,Esperance,AU,75.2,broken clouds,-33.87,121.9,Hospitality Esperance
1319,Hithadhoo,MV,83.44,light rain,-0.6,73.08,Scoop Guest House
1323,Port Elizabeth,ZA,68.0,clear sky,-33.92,25.57,39 On Nile Guest House
1325,Georgetown,MY,84.2,few clouds,5.41,100.34,Cititel Penang
1327,Kismayo,SO,81.88,clear sky,-0.36,42.55,Agan-Hotel
1331,Puerto Ayora,EC,70.0,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
